
################################
#Benchmark pattern info:
################################
./posixGlibcAIO_sleep
################################
#Fixed dim and values:
################################
nbCharOutput, 500000000 ,nbIteration, 40
################################
#Variable dim:
################################
computeTime,nbIoDevice
################################
#Result dim:
################################
Iterations, Iteration + wait
################################
#Number of tries:
################################
2
################################
#Data:
################################
0.00000001, 1
1.02156041095e-06, 1.37217052844e-05
0.00000001, 1
1.25409779009e-06, 8.99839219972e-06
0.0000001, 1
1.02917802987e-06, 1.22414853082e-05
0.0000001, 1
1.00712714452e-06, 1.00933223978e-05
0.0000002, 1
1.02757434411e-06, 1.03868000518e-05
0.0000002, 1
1.07287898775e-06, 1.30633841771e-05
0.0000004, 1
1.06566235866e-06, 9.37847023846e-06
0.0000004, 1
9.00079845823e-07, 6.56396758833e-06
0.0000006, 1
1.09693467027e-06, 7.28082368863e-06
0.0000006, 1
1.66384468785e-06, 1.96353719488e-05
0.0000008, 1
5.61697944874e-07, 4.23298137186e-06
0.0000008, 1
9.40573374243e-07, 9.80265089524e-06
0.000001, 1
9.3055018621e-07, 1.27763217509e-05
0.000001, 1
8.46756604551e-07, 5.76211454574e-06
0.000002, 1
8.6359545821e-07, 1.90608427457e-05
0.000002, 1
9.57011390336e-07, 8.85245559222e-06
0.000004, 1
7.09238797521e-07, 7.4411939412e-06
0.000004, 1
7.02423103394e-07, 7.09479408543e-06
0.000006, 1
9.70241867249e-07, 7.70339968484e-06
0.000006, 1
7.9704171888e-07, 7.23872647604e-06
0.000008, 1
7.76995335679e-07, 8.11675468051e-06
0.000008, 1
1.00913179883e-06, 6.52708211559e-06
0.00001, 1
1.10816054945e-06, 1.11285138825e-05
0.00001, 1
7.60557411797e-07, 6.80773054946e-06
0.00003, 1
6.21035061986e-07, 4.38733807832e-06
0.00003, 1
1.38038972451e-06, 3.07410345998e-05
0.00006, 1
1.10415129217e-06, 1.18606055469e-05
0.00006, 1
7.16054587909e-07, 6.62490818063e-06
0.00008, 1
1.06927069836e-06, 1.00732757017e-05
0.00008, 1
