
################################
#Benchmark pattern info:
################################
./posixGlibcIO_sleep
################################
#Fixed dim and values:
################################
nbCharOutput, 500000000 ,nbIteration, 40
################################
#Variable dim:
################################
computeTime,nbIoDevice
################################
#Result dim:
################################
Iterations, Iteration + wait
################################
#Number of tries:
################################
2
################################
#Data:
################################
0.00000001, 1
1.21159980894e-06, 1.69391435896e-06
0.00000001, 1
8.53171513169e-07, 1.06004956805e-06
0.0000001, 1
7.33695481628e-07, 6.63132418914e-07
0.0000001, 1
1.04200787346e-06, 1.56200949404e-06
0.0000002, 1
1.13502280616e-06, 1.65021330631e-06
0.0000002, 1
6.49099896942e-07, 9.97504968246e-07
0.0000004, 1
1.00792910443e-06, 1.48623436362e-06
0.0000004, 1
1.17270991637e-06, 1.65702908867e-06
0.0000006, 1
7.34096342487e-07, 7.81806590852e-07
0.0000006, 1
1.33628793157e-06, 1.60089940317e-06
0.0000008, 1
1.08811438163e-06, 1.50026677085e-06
0.0000008, 1
9.42578061502e-07, 1.3182461362e-06
0.000001, 1
7.50534299233e-07, 9.53403078834e-07
0.000001, 1
8.64798421161e-07, 1.09853856003e-06
0.000002, 1
9.16517866757e-07, 1.01995689109e-06
0.000002, 1
8.50765989183e-07, 9.64629109319e-07
0.000004, 1
9.06093806279e-07, 2.00824065294e-06
0.000004, 1
1.16268670574e-06, 1.84426167118e-06
0.000006, 1
1.04521527719e-06, 1.56080670276e-06
0.000006, 1
7.19662902904e-07, 1.25089039391e-06
0.000008, 1
1.04762081368e-06, 1.68749942778e-06
0.000008, 1
8.66001128735e-07, 1.39923330523e-06
0.00001, 1
8.70010354851e-07, 1.30862387015e-06
0.00001, 1
9.28545619333e-07, 1.60611129147e-06
0.00003, 1
8.64397434031e-07, 1.18313396467e-06
0.00003, 1
1.04240875938e-06, 1.58766872583e-06
0.00006, 1
7.35299128049e-07, 8.13880714252e-07
0.00006, 1
8.44351107965e-07, 1.49345103379e-06
0.00008, 1
1.05483746567e-06, 1.41045921864e-06
0.00008, 1
